track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,predicted_genre,actual_genre,confidence_interval
4A3mQ1pBPiuq95ch6DLy4q,Tony Vega,Ritmo Bonito,Esa Mujer,0,314493,False,0.608,0.75,10,-5.807,0,0.0417,0.247,4.6e-05,0.0716,0.925,175.735,4,Folk & Country,Folk & Country,Folk & Country,0.84
4VovlZD2uzSXIS90riyCb9,Nessa Barrett;jxdn,20's Rock,la di die,0,195191,False,0.484,0.643,1,-4.72,1,0.0416,0.0036,0.0,0.243,0.345,163.97,4,Pop & Dance,Pop & Dance,Pop & Dance,0.41
2jihadt1H0tk4LvvGgmS9H,La Roux,Halloween Hits,In For The Kill,0,250160,False,0.627,0.973,8,-0.223,0,0.0435,0.00137,0.0,0.0851,0.894,150.063,4,Rock & Metal,Rock & Metal,Rock & Metal,0.58
7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Torches,Pumped Up Kicks,84,239600,False,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4,Rock & Metal,Pop & Dance,Rock & Metal,0.47
1UWacd8x8tPPwmrPB1MoBI,Pritam;Arijit Singh,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Ae Dil Hai Mushkil Title Track,68,269032,False,0.495,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,4,World & Ethnic,World & Ethnic,World & Ethnic,0.42
6geCWidV8IzvJofE8Rk51P,Paramore,Brand New Eyes (Deluxe Edition),All I Wanted,41,225786,False,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,4,Other / Misc,Pop & Dance,Other / Misc,0.33
3IJbDajiJ4EUu1iGsNzrqU,Carta,Liang,Liang,56,150234,False,0.568,0.934,9,-4.975,1,0.0317,9.2e-05,0.786,0.366,0.0853,128.031,4,Pop & Dance,Pop & Dance,Pop & Dance,0.72
48F4lmUxRKhH5pGrkuRzA0,Roberto Carlos,O Inimitável (Remasterizado),As Canções Que Você Fez Pra Mim - Versão remasterizada,44,211173,False,0.452,0.351,7,-11.517,1,0.0338,0.0782,0.000431,0.111,0.416,84.67,4,Folk & Country,Rock & Metal,Folk & Country,0.3
2EWlhbIohtAu8nBdCBjnEw,Felipe Vilela,Volta / Live Session (Ao Vivo),Provação / Live Session,28,247411,False,0.687,0.388,7,-12.506,1,0.649,0.567,0.0,0.109,0.214,83.213,4,Hip-Hop & R&B,Comedy & Children,Hip-Hop & R&B,0.44
7Ms07pLdSkZtyeSr6GYhK2,The Chemical Brothers,Brotherhood,Saturate,21,290800,False,0.825,0.551,10,-4.818,0,0.0685,0.0687,0.903,0.0953,0.318,133.99,4,Pop & Dance,Pop & Dance,Pop & Dance,0.68
6BIiXW7N2Q1ax3jfii07MX,Tom Novy;Jerry Ropero;Abigail Bailey;Paul Lock,Balearic House Winter 2022,Touch Me - Paul Lock Remix,0,414679,False,0.791,0.906,11,-3.612,0,0.0856,0.00177,0.588,0.0759,0.786,122.982,4,Pop & Dance,Pop & Dance,Pop & Dance,0.76
6R6V0yswnkY01L9buDZa7O,Hillsong Worship;Brooke Ligertwood,These Same Skies (Live),Resurrender - Live,48,422135,False,0.45,0.434,0,-9.544,1,0.0295,0.148,0.0,0.0697,0.143,139.93,4,World & Ethnic,World & Ethnic,World & Ethnic,0.62
0OSGRuXYDaPyLkzi2n6Pj8,Zeromancer,Clone Your Lover,Clone Your Lover,20,230226,False,0.547,0.918,6,-6.9,1,0.0367,9.9e-05,0.0649,0.126,0.401,115.03,4,Rock & Metal,Rock & Metal,Rock & Metal,0.65
370DsdByLaSOeWyruZbiJT,Talib Kweli,The Hip Hop Collection,Listen!!! - Radio Edit,0,207946,False,0.719,0.794,6,-6.965,1,0.302,0.0239,0.0,0.46,0.632,98.046,4,Rock & Metal,Folk & Country,Rock & Metal,0.26
2KL16by3OjDQTuUIdoJJBx,George Jones,The Essential George Jones,The Grand Tour,21,186266,False,0.325,0.262,10,-11.59,1,0.0309,0.911,0.000231,0.296,0.438,88.936,4,Folk & Country,Folk & Country,Folk & Country,0.38
31Mf3aGYOpabMv9Nl6bLPn,Toxic Holocaust,Hell on Earth,Intro,19,86373,True,0.146,0.993,9,-3.506,1,0.091,1.4e-06,0.91,0.266,0.502,190.151,4,Rock & Metal,Rock & Metal,Rock & Metal,0.84
3DU1G3nyYZe0sTzxx7pjD7,Five Star Hotel;Spirit Waves,Machine Girl / Five Star Hotel,For a Moment,14,222712,False,0.483,0.714,2,-7.418,0,0.0358,0.0978,0.647,0.105,0.165,99.999,4,Pop & Dance,Pop & Dance,Pop & Dance,0.54
